id. ID da resposta;data_collection;submitdate. Data de submissão;seed. Semente;startdate. Data de início;datestamp. Data da última acção;ID de participante;Tipo de instrumento ;G01Q06. Escolha o ID da sessão;Assigned_group;Group-Solo;Type-improv;Real_duration(s);Duration_estimate[min.];Duration_estimate[sec.];PoT[slow/fast];difficulty[easy/difficult];engagementEmotional[boring/interesting];engagementAttention[distracted/focused];familiarity[unfamiliar/familiar];focoMusica[SQ001]. Estive focado na performance musical.;focoSala[SQ001]. A minha atenção desviou-se para elementos da sala que não tinham relação com a performance musical.;focoPensExter[SQ001]. A minha atenção desviou-se para pensamentos não diretamente relacionados com a performance musical.;Branco[SQ001]. Houve momentos em que a minha mente estava “em branco” ou sem qualquer tipo de pensamento ativo.;SecundarioMusica[SQ001]. Tive pensamentos ou preocupações relacionadas com aspetos secundários e interferentes da performance musical.;Probe2. Indique. por favor. qual dos seguintes estados mentais foi mais predominante neste take:;Formato audio
;PJ;2025-10-10 12:53:33;17977687;2025-10-10 12:47:38;2025-10-10 12:53:33;PJ2melody2;Melodic;Grupo - B - Não familiar;Group11;Group;B;120;3;10;2.4;2.6;2.1;3.5;2.1;3.7;1.5;1.4;1.8;2.1;Estive focado na performance musical.;.m4a
;PJ;2025-10-10 13:21:05;2034335255;2025-10-10 13:18:31;2025-10-10 13:21:05;PJ2melody2;Melodic;Solo - B - Não familiar;Group11;Solo;B;160;3;56;2.9;3.7;3.6;4.3;1.3;4;1.3;1.3;1.2;1.3;Estive focado na performance musical.;.m4a
;PJ;2025-10-10 13:30:07;1645178018;2025-10-10 13:28:24;2025-10-10 13:30:07;PJ2drum2;Drum;Solo - B - Não familiar;Group11;Solo;B;120;3;37;2.1;4.1;1.7;1.9;4.1;1.6;3.1;3.4;4;4.5;Estive focado em elementos físicos da sala que não tinham relação com a performance musical.;.m4a
7;PJ;2025-02-03 16:47:26;582930912;2025-02-03 16:44:17;2025-02-03 16:47:26;oa03B;Bass;Grupo - A - Familiar;Group0;Group;A;140;4;0;3;1.4;3.5;2.7;5;3.4;1;1.3;4;1.8;Estive focado na performance musical.;.mp3
8;PJ;2025-02-03 16:47:13;517383950;2025-02-03 16:44:20;2025-02-03 16:47:13;OA05M;Melodic;Grupo - A - Familiar;Group0;Group;A;140;3;0;2.9;2;4;3.5;3.7;4.1;1.5;1.3;3.5;1.5;Estive focado na performance musical.;.mp3
9;PJ;2025-02-03 16:49:14;2071589076;2025-02-03 16:44:42;2025-02-03 16:49:14;oa07D;Drum;Grupo - A - Familiar;Group0;Group;A;140;3;15;3;2.1;3.9;4;3.3;4.7;1;1;5;1;Estive focado na performance musical.;.mp3
10;PJ;2025-02-03 16:47:37;1696931538;2025-02-03 16:44:42;2025-02-03 16:47:37;LA06H;Harmonic;Grupo - A - Familiar;Group0;Group;A;140;4;0;4;1.5;5;5;5;5;1;1;1;4;Estive focado na performance musical.;.mp3
38;PJ;2025-02-04 13:19:06;2093479491;2025-02-04 13:14:32;2025-02-04 13:19:06;MM04M;Melodic;Grupo - A - Familiar;Group1;Group;A;150;3;0;2;2;3.8;4.5;5;4.5;1;1;1;1;Estive focado na performance musical.;.mp3
39;PJ;2025-02-04 13:17:06;1461048332;2025-02-04 13:14:36;2025-02-04 13:17:06;ea09D;Drum;Grupo - A - Familiar;Group1;Group;A;150;2;10;3;1;1.7;5;5;5;1;1;1;1;Estive focado na performance musical.;.mp3
40;PJ;2025-02-04 13:17:50;1205799798;2025-02-04 13:14:51;2025-02-04 13:17:50;BB04B;Bass;Grupo - A - Familiar;Group1;Group;A;150;2;30;2;1;5;5;5;5;1;1;1;1;Estive focado na performance musical.;.mp3
41;PJ;2025-02-04 13:17:11;188643371;2025-02-04 13:14:52;2025-02-04 13:17:11;hh04H;Harmonic;Grupo - A - Familiar;Group1;Group;A;150;4;0;5;4.2;5;3.7;5;3.9;1.7;1.8;1.8;2;Estive focado na performance musical.;.mp3
59;PJ;2025-02-04 16:32:10;1788922373;2025-02-04 16:29:20;2025-02-04 16:32:10;Ao07tM;Melodic;Grupo - A - Familiar;Group2;Group;A;150;4;30;2;3.8;3.5;2.2;4;3;3.5;3;4;3.4;Estive focado em aspetos secundários e interferentes da performance musical.;.mp3
60;PJ;2025-02-04 16:33:07;1500669231;2025-02-04 16:29:20;2025-02-04 16:33:07;Bb04tB;Bass;Grupo - A - Familiar;Group2;Group;A;150;3;0;2;1.6;1.4;3;5;4;1.3;3;3;1.4;Estive focado na performance musical.;.mp3
61;PJ;2025-02-04 16:32:26;1786294299;2025-02-04 16:29:22;2025-02-04 16:32:26;oa11D;Drum;Grupo - A - Familiar;Group2;Group;A;150;3;7;3.4;2.7;3.7;2.1;4.4;2.4;1.3;2;2.5;4.3;Estive focado em aspetos secundários e interferentes da performance musical.;.mp3
62;PJ;2025-02-04 16:31:09;1080752521;2025-02-04 16:29:25;2025-02-04 16:31:09;Oa08H;Harmonic;Grupo - A - Familiar;Group2;Group;A;150;3;24;3.1;2;4.1;4.1;5;4.1;1;1.3;4.2;1.4;Estive focado na performance musical.;.mp3
178;JOBRA;2025-07-04 12:33:02;793211599;2025-07-04 12:30:55;2025-07-04 12:33:02;Jvoice9;Melodic;Grupo - A - Familiar;Group7;Group;A;150;2;0;2.7;3.0;3.0;2.8;3.0;3.6;2.2;2.5;2.2;2.5;Estive focado em aspetos secundários e interferentes da performance musical.;.m4a
179;JOBRA;2025-07-04 12:33:29;354356788;2025-07-04 12:30:55;2025-07-04 12:33:29;Jsax4;Melodic;Grupo - A - Familiar;Group7;Group;A;150;7;20;5.0;4.0;5.0;2.0;5.0;4.0;2.0;2.0;1.0;4.0;Estive focado na performance musical.;.m4a
180;JOBRA;2025-07-04 12:32:47;1426774022;2025-07-04 12:30:56;2025-07-04 12:32:47;Jguitar7;Harmonic;Grupo - A - Familiar;Group7;Group;A;150;4;20;3.6;1.0;4.0;5.0;4.4;4.5;1.0;1.0;1.0;1.0;Estive focado na performance musical.;.m4a
181;JOBRA;2025-07-04 12:32:58;1043998658;2025-07-04 12:30:59;2025-07-04 12:32:58;Jdrum7;Drum;Grupo - A - Familiar;Group7;Group;A;150;4;0;4.2;1.3;5.0;3.9;5.0;2.0;4.2;4.1;1.9;4.0;Estive focado em algo não diretamente relacionado com a performance musical.;.m4a
186;JOBRA;2025-07-04 12:54:40;322256082;2025-07-04 12:53:23;2025-07-04 12:54:40;Jdrum6;Drum;Grupo - A - Familiar;Group6;Group;A;170;5;0;3.0;1.0;4.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;Estive focado na performance musical.;.m4a
187;JOBRA;2025-07-04 12:55:11;823885102;2025-07-04 12:53:30;2025-07-04 12:55:11;Jsax3;Melodic;Grupo - A - Familiar;Group6;Group;A;170;4;30;4.0;2.7;4.5;3.9;5.0;4.6;1.0;1.0;1.7;3.0;Estive focado em aspetos secundários e interferentes da performance musical.;.m4a
188;JOBRA;2025-07-04 12:54:48;1730377412;2025-07-04 12:53:35;2025-07-04 12:54:48;Jguitar5;Harmonic;Grupo - A - Familiar;Group6;Group;A;170;5;8;4.1;2.1;3.6;3.5;4.7;4.0;2.4;1.8;2.7;3.3;Estive focado na performance musical.;.m4a
189;JOBRA;2025-07-04 12:54:56;1233496695;2025-07-04 12:53:40;2025-07-04 12:54:56;Jvoice8;Melodic;Grupo - A - Familiar;Group6;Group;A;170;4;41;3.5;2.6;3.0;3.4;3.7;3.5;2.1;2.3;3.5;3.2;Estive focado na performance musical.;.m4a
201;JOBRA;2025-07-04 13:28:40;1993370943;2025-07-04 13:26:50;2025-07-04 13:28:40;Jdrum2;Drum;Grupo - A - Familiar;Group3;Group;A;120;3;30;3.2;2.1;4.1;4.1;4.2;4.1;1.0;1.0;1.3;3.1;Estive focado na performance musical.;.m4a
202;JOBRA;2025-07-04 13:29:17;994221282;2025-07-04 13:27:02;2025-07-04 13:29:17;Jsax1;Melodic;Grupo - A - Familiar;Group3;Group;A;120;1;30;3.0;1.8;3.4;3.2;4.8;4.2;2.0;3.4;2.4;3.8;Estive focado na performance musical.;.m4a
203;JOBRA;2025-07-04 13:30:35;1543741959;2025-07-04 13:27:11;2025-07-04 13:30:35;Jvoice1;Melodic;Grupo - A - Familiar;Group3;Group;A;120;1;0;1.9;4.0;3.0;2.2;3.6;3.0;1.6;3.0;4.0;2.5;Estive focado em algo não diretamente relacionado com a performance musical.;.m4a
204;JOBRA;2025-07-04 13:52:35;936778573;2025-07-04 13:49:58;2025-07-04 13:52:35;Jpiano1;Harmonic;Grupo - A - Familiar;Group4;Group;A;160;5;10;2.3;4.6;2.3;3.2;5.0;5.0;1.0;2.1;1.0;1.8;Estive focado na performance musical.;.m4a
205;JOBRA;2025-07-04 13:52:03;1055333902;2025-07-04 13:50:07;2025-07-04 13:52:03;Jbass1;Bass;Grupo - A - Familiar;Group4;Group;A;160;3;0;1.4;1.0;1.2;2.0;5.0;4.1;1.0;1.0;4.5;1.0;Estive focado na performance musical.;.m4a
206;JOBRA;2025-07-04 13:53:46;602559361;2025-07-04 13:50:16;2025-07-04 13:53:46;Jdrum4;Drum;Grupo - A - Familiar;Group4;Group;A;160;3;25;3.0;1.8;3.5;3.7;4.5;4.5;3.8;3.3;1.5;3.0;Estive focado na performance musical.;.m4a
207;JOBRA;2025-07-04 13:52:27;330373077;2025-07-04 13:50:42;2025-07-04 13:52:27;Jvoice5;Melodic;Grupo - A - Familiar;Group4;Group;A;160;2;15;3.0;1.5;3.0;3.0;5.0;4.0;1.0;2.0;2.0;4.0;Estive focado em aspetos secundários e interferentes da performance musical.;.m4a
216;JOBRA;2025-07-04 15:51:51;683690882;2025-07-04 15:49:58;2025-07-04 15:51:51;Jsax2;Melodic;Grupo - A - Familiar;Group9;Group;A;130;3;10;3.8;5.0;1.0;2.0;5.0;1.3;4.2;2.1;4.2;4.1;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.m4a
217;JOBRA;2025-07-04 15:51:23;507572537;2025-07-04 15:49:58;2025-07-04 15:51:23;Jguitar8;Harmonic;Grupo - A - Familiar;Group9;Group;A;130;6;15;3.8;2.1;4.3;3.7;4.4;4.2;1.0;3.4;1.3;3.4;Estive focado na performance musical.;.m4a
218;JOBRA;2025-07-04 15:51:44;1344978899;2025-07-04 15:49:59;2025-07-04 15:51:44;Jpiano3;Harmonic;Grupo - A - Familiar;Group9;Group;A;130;3;47;4.4;2.4;4.5;4.5;3.7;4.0;1.0;1.2;4.3;1.3;Estive focado na performance musical.;.m4a
219;JOBRA;2025-07-04 15:51:50;1322994412;2025-07-04 15:50:03;2025-07-04 15:51:50;Jdrum3;Drum;Grupo - A - Familiar;Group9;Group;A;130;2;40;4.0;1.3;4.1;4.5;5.0;4.4;3.6;1.8;4.0;1.7;Estive focado na performance musical.;.m4a
231;JOBRA;2025-07-04 16:23:30;477001051;2025-07-04 16:22:00;2025-07-04 16:23:30;Jguitar4;Harmonic;Grupo - A - Familiar;Group5;Group;A;130;3;0;3.9;1.9;5.0;3.0;4.0;4.4;2.4;1.8;1.9;2.2;Estive focado na performance musical.;.m4a
232;JOBRA;2025-07-04 16:24:17;1457898472;2025-07-04 16:22:17;2025-07-04 16:24:17;Jdrum5;Drum;Grupo - A - Familiar;Group5;Group;A;130;4;12;4.0;1.6;4.2;4.0;4.0;5.0;1.7;1.6;1.7;1.5;Estive focado na performance musical.;.m4a
233;JOBRA;2025-07-04 16:30:17;418741250;2025-07-04 16:28:18;2025-07-04 16:30:17;Jvoice6;Melodic;Grupo - A - Familiar;Group5;Group;A;130;3;36;5;2.1;4.4;3.7;4.6;4.5;1.8;3;2;3;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.m4a
237;JOBRA;2025-07-04 16:45:04;539070455;2025-07-04 16:42:28;2025-07-04 16:45:04;Jsax5;Melodic;Grupo - A - Familiar;Group8;Group;A;140;3;40;3.0;2.0;2.0;4.5;5.0;4.5;1.0;1.5;3.5;1.0;Estive focado na performance musical.;.m4a
238;JOBRA;2025-07-04 16:44:18;1999651537;2025-07-04 16:42:39;2025-07-04 16:44:18;Jvoice10;Melodic;Grupo - A - Familiar;Group8;Group;A;140;2;3;2.8;3.0;2.8;3.0;5.0;3.3;1.0;2.1;3.7;3.8;Estive focado em aspetos secundários e interferentes da performance musical.;.m4a
239;JOBRA;2025-07-04 16:45:07;2107371529;2025-07-04 16:42:54;2025-07-04 16:45:07;Jpiano2;Harmonic;Grupo - A - Familiar;Group8;Group;A;140;2;30;3.5;1.6;2.3;2.5;3.7;3.4;3.4;3.4;4.0;3.5;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.m4a
16;PJ;2025-02-03 17:11:31;211651372;2025-02-03 17:09:20;2025-02-03 17:11:31;oa03B;Bass;Solo - A - Familiar;Group0;Solo;A;140;3;30;4.5;3.5;4;4;3.5;4.2;1;1.5;2;1.5;Estive focado na performance musical.;.mp3
19;PJ;2025-02-03 17:36:28;1734169539;2025-02-03 17:33:44;2025-02-03 17:36:28;LA06H;Harmonic;Solo - A - Familiar;Group0;Solo;A;180;3;40;4.5;1.5;4.5;4.5;5;4.5;1;1.5;1.5;2.5;Estive focado na performance musical.;.mp3
22;PJ;2025-02-03 18:19:26;775001170;2025-02-03 18:17:58;2025-02-03 18:19:26;OA05M;Melodic;Solo - A - Familiar;Group0;Solo;A;180;3;0;2.6;3.4;2.6;2.5;3.5;2.9;2.9;2.7;2.2;2.6;Estive focado em algo não diretamente relacionado com a performance musical.;.mp3
26;PJ;2025-02-03 18:50:12;934171076;2025-02-03 18:47:53;2025-02-03 18:50:12;oa07D;Drum;Solo - A - Familiar;Group0;Solo;A;140;3;57;3;2.1;5;5;4.3;5;1;1;1;1;Estive focado na performance musical.;.mp3
28;PJ;2025-02-04 12:17:38;1299488793;2025-02-04 12:14:31;2025-02-04 12:17:38;ea09D;Drum;Solo - A - Familiar;Group1;Solo;A;130;2;36;3.1;2.4;2.7;4.7;5;4.3;1.1;1.1;1;1;Estive focado na performance musical.;.mp3
44;PJ;2025-02-04 13:37:31;33439332;2025-02-04 13:35:26;2025-02-04 13:37:31;hh04H;Harmonic;Solo - A - Familiar;Group1;Solo;A;180;4;24;3.1;3;4.4;3.9;5;3.2;1.3;2.7;2.6;2.5;Estive focado na performance musical.;.mp3
47;PJ;2025-02-04 13:54:16;1895459748;2025-02-04 13:52:28;2025-02-04 13:54:16;BB04B;Bass;Solo - A - Familiar;Group1;Solo;A;150;2;30;2.8;1;5;5;5;5;1.2;1.3;1;1.3;Estive focado na performance musical.;.mp3
48;PJ;2025-02-04 13:59:52;1447916950;2025-02-04 13:57:10;2025-02-04 13:59:52;MM04M;Melodic;Solo - A - Familiar;Group1;Solo;A;170;1;45;3;3.5;4;5;4;5;1.5;1;1;1;Estive focado na performance musical.;.mp3
65;PJ;2025-02-04 16:50:08;2069865316;2025-02-04 16:48:46;2025-02-04 16:50:08;Bb04tB;Bass;Solo - A - Familiar;Group2;Solo;A;130;2;5;5;3;4.7;4.4;4.5;4.6;1.4;1.4;2;1.4;Estive focado na performance musical.;.mp3
68;PJ;2025-02-04 17:09:47;1761659758;2025-02-04 17:07:54;2025-02-04 17:09:47;Ao07tM;Melodic;Solo - A - Familiar;Group2;Solo;A;150;3;10;1.9;3.8;2.2;2.4;3.8;2.3;3.7;3.7;3.9;3.6;Estive focado em elementos físicos da sala que não tinham relação com a performance musical.;.wav
69;PJ;2025-02-04 17:15:59;1930057468;2025-02-04 17:14:05;2025-02-04 17:15:59;Oa08H;Harmonic;Solo - A - Familiar;Group2;Solo;A;150;3;5;3.8;2.4;4.1;3.9;4.8;4;1.6;2.8;4.2;2;Estive focado na performance musical.;.mp3
74;PJ;2025-02-04 17:43:29;342035068;2025-02-04 17:41:42;2025-02-04 17:43:29;oa11D;Drum;Solo - A - Familiar;Group2;Solo;A;130;2;40;3;2.3;4.4;4.3;4.6;4.1;1.7;1.4;1.7;1.8;Estive focado na performance musical.;.mp3
80;JOBRA;2025-06-30 11:07:00;1064364146;2025-06-30 11:04:42;2025-06-30 11:07:00;Jpiano1;Harmonic;Solo - A - Familiar;Group4;Solo;A;155;4;0;3.6;1;4.6;4;5;4.6;1.5;1.3;4.2;1.5;Estive focado na performance musical.;.mp3
83;JOBRA;2025-06-30 11:12:41;1732933298;2025-06-30 11:10:58;2025-06-30 11:12:41;Jbass1;Bass;Solo - A - Familiar;Group4;Solo;A;150;3;35;4.5;1.2;3.5;5;5;5;1.5;1;4.3;1.2;Estive focado na performance musical.;.mp3
84;JOBRA;2025-06-30 11:14:19;692787885;2025-06-30 11:13:21;2025-06-30 11:14:19;Jsax2;Melodic;Solo - A - Familiar;Group9;Solo;A;180;5;28;4.1;1.9;5;4.8;5;5;1;1.3;1;2.3;Estive focado na performance musical.;.m4a
88;JOBRA;2025-06-30 11:34:22;324109954;2025-06-30 11:30:57;2025-06-30 11:34:22;Jpiano2;Harmonic;Solo - A - Familiar;Group8;Solo;A;170;2;10;3;4;4;4;4;4.5;1.6;1;3.6;1.8;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.mp3
95;JOBRA;2025-06-30 11:49:38;921715116;2025-06-30 11:48:09;2025-06-30 11:49:38;Jguitar4;Harmonic;Solo - A - Familiar;Group5;Solo;A;130;3;0;5;2;5;5;4;5;1.5;1.5;2;1.5;Estive focado na performance musical.;.mp3
96;JOBRA;2025-06-30 11:52:18;2033931637;2025-06-30 11:49:57;2025-06-30 11:52:18;Jsax3;Melodic;Solo - A - Familiar;Group6;Solo;A;170;2;40;4.2;2.2;5;5;5;4.5;1;1;1;2.9;Estive focado na performance musical.;.m4a
102;JOBRA;2025-06-30 12:13:49;1814428406;2025-06-30 12:11:42;2025-06-30 12:13:49;Jguitar5;Harmonic;Solo - A - Familiar;Group6;Solo;A;160;5;8;2.6;3.3;3.2;2.3;3.7;3.5;1.5;3.9;4.1;3.8;Estive focado em aspetos secundários e interferentes da performance musical.;.mp3
103;JOBRA;2025-06-30 12:15:41;2105999598;2025-06-30 12:13:40;2025-06-30 12:15:41;Jtrombone1;Melodic;Solo - A - Familiar;no_group;Solo;A;120;1;25;2.6;2.3;4.1;2.2;5;2.4;1;1.7;2.2;2.3;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.m4a
104;JOBRA;2025-06-30 12:17:02;1952904203;2025-06-30 12:15:19;2025-06-30 12:17:02;Jpiano3;Harmonic;Solo - A - Familiar;Group9;Solo;A;180;3;48;3.8;1.9;4;4.3;4.5;3.9;1;1;3.7;2.4;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.mp3
110;JOBRA;2025-06-30 12:46:52;345864287;2025-06-30 12:44:51;2025-06-30 12:46:52;Jsax1;Melodic;Solo - A - Familiar;Group3;Solo;A;180;5;0;3.4;3.4;3.4;3.3;3.6;4;1.8;2.8;3.4;3.6;Estive focado na performance musical.;.m4a
112;JOBRA;2025-06-30 12:50:53;1445309795;2025-06-30 12:49:25;2025-06-30 12:50:53;Jsax5;Melodic;Solo - A - Familiar;Group8;Solo;A;165;3;10;4;1;4;3.5;5;3.9;1;1;3.5;1;Estive focado na performance musical.;.mp3
114;JOBRA;2025-06-30 12:52:28;699178526;2025-06-30 12:51:08;2025-06-30 12:52:28;Jguitar6;Harmonic;Solo - A - Familiar;no_group;Solo;A;125;3;0;4.6;1.9;4.6;4.3;3.3;5;1.2;1.3;1.3;1.4;Estive focado na performance musical.;.mp3
116;JOBRA;2025-06-30 13:08:11;1742016480;2025-06-30 13:01:54;2025-06-30 13:08:10;Jvoice1;Melodic;Solo - A - Familiar;Group3;Solo;A;125;1;15;3.9;2.8;5;3.5;4.2;3.7;2;2.5;3;3.5;Estive focado na performance musical.;.mp3
117;JOBRA;2025-06-30 13:11:14;1073536704;2025-06-30 13:09:02;2025-06-30 13:11:14;Jguitar8;Harmonic;Solo - A - Familiar;Group9;Solo;A;180;4;40;2;2.7;2.8;1.9;2.6;2.6;1.9;3.8;3.7;3.3;Estive focado em aspetos secundários e interferentes da performance musical.;.mp3
119;JOBRA;2025-06-30 13:16:54;862702871;2025-06-30 13:15:23;2025-06-30 13:16:54;Jvoice10;Melodic;Solo - A - Familiar;Group8;Solo;A;160;4;8;3;3.6;3.4;2.9;1;4.1;2.8;1.2;1;3.9;Estive focado em aspetos secundários e interferentes da performance musical.;.m4a
124;JOBRA;2025-06-30 13:37:01;1412858960;2025-06-30 13:33:39;2025-06-30 13:37:01;Jdrum6;Drum;Solo - A - Familiar;Group6;Solo;A;150;3;30;2;2;3;4;4.5;4;1;1;1.5;3;Estive focado em aspetos secundários e interferentes da performance musical.;.m4a
127;JOBRA;2025-06-30 13:48:10;2092919138;2025-06-30 13:43:47;2025-06-30 13:48:10;Jvoice8;Melodic;Solo - A - Familiar;Group6;Solo;A;140;5;17;2.4;3.4;3;3.3;1.9;3.6;1.7;3.4;4.1;2.4;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.mp3
131;JOBRA;2025-06-30 13:57:20;313769556;2025-06-30 13:55:43;2025-06-30 13:57:20;Jvoice9;Melodic;Solo - A - Familiar;Group7;Solo;A;120;1;50;3.5;2.2;3;2.7;3.5;3.9;2.8;2.9;1.9;3.4;Estive focado na performance musical.;.mp3
135;JOBRA;2025-06-30 15:43:16;1800688287;2025-06-30 15:40:07;2025-06-30 15:43:16;Jvoice5;Melodic;Solo - A - Familiar;Group4;Solo;A;135;5;30;2.5;3;1;2;2;4;4.5;1;4;3.5;Estive focado em aspetos secundários e interferentes da performance musical.;.mp3
139;JOBRA;2025-06-30 15:50:02;1419083022;2025-06-30 15:48:22;2025-06-30 15:50:02;Jguitar7;Harmonic;Solo - A - Familiar;Group7;Solo;A;180;3;0;5;1;5;5;5;5;1;1;4.6;1;Estive focado na performance musical.;.mp3
140;JOBRA;2025-06-30 15:57:29;1553966792;2025-06-30 15:55:37;2025-06-30 15:57:29;Jdrum3;Drum;Solo - A - Familiar;Group9;Solo;A;170;2;30;2.2;3.5;4.3;1.7;4.2;3.7;3.6;4.6;3.9;4.6;Estive focado em aspetos secundários e interferentes da performance musical.;.m4a
142;JOBRA;2025-06-30 16:10:10;1361292183;2025-06-30 16:06:35;2025-06-30 16:10:10;Jdrum2;Drum;Solo - A - Familiar;Group3;Solo;A;140;2;50;1.5;3;2.7;2.2;1.8;1.8;1;4.2;4.1;1.5;A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo.;.m4a
145;JOBRA;2025-06-30 16:19:54;808874780;2025-06-30 16:17:29;2025-06-30 16:19:54;Jvoice6;Melodic;Solo - A - Familiar;Group5;Solo;A;80;3;30;4;2;4.2;3;2.3;3.8;2;2;3.5;3.4;Estive focado na performance musical.;.mp3
148;JOBRA;2025-06-30 16:26:35;1676032711;2025-06-30 16:24:43;2025-06-30 16:26:35;Jvoice4;Melodic;Solo - A - Familiar;no_group;Solo;A;160;3;0;2.7;2.6;3.4;3.4;4;3.5;3;1.8;1.6;2.1;Estive focado na performance musical.;.mp3
151;JOBRA;2025-06-30 16:46:03;1987683915;2025-06-30 16:44:28;2025-06-30 16:46:03;Jdrum7;Drum;Solo - A - Familiar;Group7;Solo;A;140;4;47;4.8;1.7;5;5;5;5;4.3;4;4.2;4.1;Estive focado na performance musical.;.m4a
153;JOBRA;2025-06-30 17:05:33;1784336989;2025-06-30 17:03:37;2025-06-30 17:05:33;Jvoice11;Melodic;Solo - A - Familiar;no_group;Solo;A;135;2;7;3.2;2.2;5;4.2;4.1;5;1;5;2.2;1.1;Estive focado na performance musical.;.mp3
154;JOBRA;2025-06-30 17:06:09;1621067136;2025-06-30 17:03:48;2025-06-30 17:06:09;Jvoice3;Melodic;Solo - A - Familiar;no_group;Solo;A;170;6;16;1.8;3.5;3.5;2.4;3.6;3.4;3.7;2.9;2.7;2.4;Estive focado em algo não diretamente relacionado com a performance musical.;.mp3
159;JOBRA;2025-06-30 17:24:36;1046319551;2025-06-30 17:22:39;2025-06-30 17:24:36;Jdrum5;Drum;Solo - A - Familiar;Group5;Solo;A;140;4;20;3.9;2;4;4;4;4;2.4;3.8;4;3.8;Estive focado em elementos físicos da sala que não tinham relação com a performance musical.;.m4a
165;JOBRA;2025-07-04 11:59:11;1878756511;2025-07-04 11:55:51;2025-07-04 11:59:11;Jsax4;Melodic;Solo - A - Familiar;Group7;Solo;A;180;10;30;2.3;2;5;2;5;3;2;3;2;2;Estive focado na performance musical.;.mp3
166;JOBRA;2025-07-04 12:18:09;1968869705;2025-07-04 12:13:57;2025-07-04 12:18:09;Jdrum4;Drum;Solo - A - Familiar;Group4;Solo;A;180;3;4;2.6;3;3;2.2;2.2;2.7;4.2;3.6;3;3.6;Estive focado em aspetos secundários e interferentes da performance musical.;.mp3
;PJ;2025-10-10 11:01:17;1118826226;2025-10-10 11:00:04;2025-10-10 11:01:17;PJ2harmonic1;Harmonic;Solo - A - Familiar;Group10;Solo;A;170;4;7;4.1;2.4;3.7;4.1;4.4;4.2;2.8;2.1;2.4;1.4;Estive focado na performance musical.;.m4a
;PJ;2025-10-10 11:33:46;1606069477;2025-10-10 11:30:38;2025-10-10 11:33:46;PJ2melodic1;Melodic;Grupo - A - Familiar;Group10;Group;A;150;4;10;3.4;2.2;3.7;4.1;4.2;4.6;1.8;1.7;3.5;1.5;Estive focado em aspetos secundários e interferentes da performance musical.;.m4a
;PJ;2025-10-10 11:32:12;1733401239;2025-10-10 11:30:38;2025-10-10 11:32:12;PJ2harmonic1;Harmonic;Grupo - A - Familiar;Group10;Group;A;150;3;7;4.5;2.7;4.3;4.7;4;4.8;1.4;1.1;1.4;1.4;Estive focado na performance musical.;.m4a
;PJ;2025-10-10 11:33:27;1094624644;2025-10-10 11:30:47;2025-10-10 11:33:27;PJ2bass1;Bass;Grupo - A - Familiar;Group10;Group;A;150;3;45;3;3;3.5;3;4.4;2.4;2.3;2.5;4;2.5;Estive focado em algo não diretamente relacionado com a performance musical.;.m4a
;PJ;2025-10-10 11:50:28;344534815;2025-10-10 11:47:30;2025-10-10 11:50:28;PJ2bass1;Bass;Solo - A - Familiar;Group10;Solo;A;180;5;0;2.5;3;3.5;3.8;3;4;3.5;3.5;4;3.5;Estive focado na performance musical.;.m4a
;PJ;2025-10-10 11:55:00;1136270981;2025-10-10 11:53:15;2025-10-10 11:55:00;PJ2melodic1;Melodic;Solo - A - Familiar;Group10;Solo;A;160;2;30;2.5;2.5;3.5;3.5;4.1;3.7;1;2.5;3.6;3.5;Estive focado na performance musical.;.m4a
;PJ;2025-10-10 12:20:07;967795170;2025-10-10 12:16:50;2025-10-10 12:20:07;PJ2bass2;Bass;Solo - A - Familiar;Group11;Solo;A;180;1;40;2;2.9;4.1;3.9;3.8;3.7;4.1;3.8;3.7;3;Estive focado na performance musical.;.m4a
;PJ;2025-10-10 12:25:33;2104330629;2025-10-10 12:21:33;2025-10-10 12:25:33;pj2harmonic2;Harmonic;Solo - A - Familiar;Group11;Solo;A;150;4;12;3.9;2.9;3.8;1.5;3.1;3;1.1;3;4.1;3;Estive focado na performance musical.;.m4a
;PJ;2025-10-10 13:11:04;1883821624;2025-10-10 13:06:46;2025-10-10 13:11:04;pj2harmonic2;Harmonic;Grupo - A - Familiar;Group11;Group;A;120;5;7;3;3.6;1.3;1.8;3.9;2.9;4.1;1.7;3;2.9;Estive focado em aspetos secundários e interferentes da performance musical.;.m4a
;PJ;2025-10-10 13:11:16;901288965;2025-10-10 13:07:02;2025-10-10 13:11:16;PJ2drum2;Drum;Grupo - A - Familiar;Group11;Group;A;120;4;48;2.2;3.2;2.6;2;3.4;3.5;3;2.8;2.5;3.2;Estive focado na performance musical.;.m4a
