"ID da resposta","Data de submissão","Última página","Idioma inicial","Semente","Data de início","Data da última acção","Introduza o seu ID de participante.  Chave para ID: Última letra do teu primeiro nome + Última letra do primeiro nome da tua mãe + mês de aniversário  Exemplo: João, Maria, Setembro = oa09 ","Escolha o ID da sessão","Quando o investigador indicar clique no botão ""Iniciar"".   Durante a improvisação poderá usar o botão ""Marcar"" para assinalar momentos relevantes.  No fim da improvisação clique no botão ""Terminar"".     MARCAR    Iniciar  Terminar       []","Quando o investigador indicar clique no botão ""Iniciar"".   Durante a improvisação poderá usar o botão ""Marcar"" para assinalar momentos relevantes.  No fim da improvisação clique no botão ""Terminar"".     MARCAR    Iniciar  Terminar       []","Quando o investigador indicar clique no botão ""Iniciar"".   Durante a improvisação poderá usar o botão ""Marcar"" para assinalar momentos relevantes.  No fim da improvisação clique no botão ""Terminar"".     MARCAR    Iniciar  Terminar       []","Quando o investigador indicar clique no botão ""Iniciar"".   Durante a improvisação poderá usar o botão ""Marcar"" para assinalar momentos relevantes.  No fim da improvisação clique no botão ""Terminar"".     MARCAR    Iniciar  Terminar       []","{((gravarsessao_fim-gravarsessao_inicio) / 1000)} ","Durante a sessão marcou {gravarsessao_count.shown} momentos.     Use o campo seguinte para descrever brevemente o que foi relevante em cada momento.  ","Por favor estime a duração desta improvisação. [minutos] [segundos] [][Escala 1]","Por favor estime a duração desta improvisação. [minutos] [segundos] [][Escala 2]","Durante esta improvisação...\ 												'); 			});	 		}); 	}    [quão lento/rápido passou o tempo?]","Quão fácil/difícil foi a execução da tarefa pedida?\ 												'); 			});	 		}); 	}    []","Quão aborrecida/interessante foi esta tarefa?\ 												'); 			});	 		}); 	}    []","Quão distraído(a) / concentrado(a) esteve nesta tarefa?\ 												'); 			});	 		}); 	}    []","Quão familiar era esta tarefa?\ 												'); 			});	 		}); 	}    []","Estive focado na performance musical.\ 												'); 			});	 		}); 	}    []","A minha atenção desviou-se para elementos da sala que não tinham relação com a performance musical.\ 												'); 			});	 		}); 	}    []","A minha atenção desviou-se para pensamentos não diretamente relacionados com a performance musical. \ 												'); 			});	 		}); 	}    []","Houve momentos em que a minha mente estava “em branco” ou sem qualquer tipo de pensamento ativo. \ 												'); 			});	 		}); 	}    []","Tive pensamentos ou preocupações relacionadas com aspetos secundários e interferentes da performance musical. \ 												'); 			});	 		}); 	}    []","Indique, por favor, qual dos seguintes estados mentais foi mais predominante neste take:"
"88","2025-06-30 11:34:22","5","pt","324109954","2025-06-30 11:30:57","2025-06-30 11:34:22","Jpiano2","Solo - A - Familiar",,,,,"NAN",,"2 minutos","10 segundos","3","4","4","4","4","4.5","1.6","1","3.6","1.8","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"89","2025-06-30 11:39:26","5","pt","382562089","2025-06-30 11:36:23","2025-06-30 11:39:26","Jsax3","Solo - C - Livre",,,,,"NAN",,"4 minutos","30 segundos","3.8","2.7","4.3","4.5","5","4.7","1","1","1.6","2.2","Estive focado na performance musical."
"90","2025-06-30 11:38:56","5","pt","1767389856","2025-06-30 11:36:42","2025-06-30 11:38:56","Jguitar4","Solo - B - Não familiar",,,,,"NAN",,"5 minutos","30 segundos","3","2","5","5","4","4.5","2","2","2","1.6","Estive focado na performance musical."
"91","2025-06-30 11:41:16","5","pt","555922118","2025-06-30 11:38:15","2025-06-30 11:41:16","Jpiano2","Solo - B - Não familiar",,,,,"NAN",,"3 minutos","0 segundos","3.8","2.3","5","3.5","3.5","4.4","4.6","2.4","3.5","4","Estive focado na performance musical."
"92","2025-06-30 11:44:56","5","pt","1679448785","2025-06-30 11:42:52","2025-06-30 11:44:56","Jguitar4","Solo - C - Livre",,,,,"NAN",,"3 minutos","0 segundos","2.5","2","5","5","2.2","5","3.3","3.9","3.6","1.5","Estive focado em aspetos secundários e interferentes da performance musical."
"93","2025-06-30 11:45:33","5","pt","1892500560","2025-06-30 11:43:23","2025-06-30 11:45:33","Jsax3","Solo - B - Não familiar",,,,,"NAN",,"4 minutos","30 segundos","3.3","1.5","4.6","1.5","4.9","4.1","1","1.7","1","2","Estive focado na performance musical."
"94","2025-06-30 11:48:00","5","pt","1262205210","2025-06-30 11:45:18","2025-06-30 11:48:00","Jpiano2","Solo - C - Livre",,,,,"NAN",,"3 minutos","30 segundos","2.8","4","5","3.7","3.7","4.3","1.6","3.5","3.5","3.5","Estive focado em aspetos secundários e interferentes da performance musical."
"95","2025-06-30 11:49:38","5","pt","921715116","2025-06-30 11:48:09","2025-06-30 11:49:38","Jguitar4","Solo - A - Familiar",,,,,"NAN",,"3 minutos","0 segundos","5","2","5","5","4","5","1.5","1.5","2","1.5","Estive focado na performance musical."
"96","2025-06-30 11:52:18","5","pt","2033931637","2025-06-30 11:49:57","2025-06-30 11:52:18","Jsax3","Solo - A - Familiar",,,,,"NAN",,"2 minutos","40 segundos","4.2","2.2","5","5","5","4.5","1","1","1","2.9","Estive focado na performance musical."
"97","2025-06-30 12:05:08","5","pt","2132554418","2025-06-30 12:01:08","2025-06-30 12:05:08","Jtrombone1","Solo - B - Não familiar",,,,,"NAN",,"3 minutos","24 segundos","4.1","3.3","3.6","2.8","3.9","3.1","1","1","4.1","2.4","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"98","2025-06-30 12:06:10","5","pt","1602107965","2025-06-30 12:03:07","2025-06-30 12:06:10","Jpiano3","Solo - B - Não familiar",,,,,"NAN",,"4 minutos","21 segundos","4.3","2.7","4.5","4.5","3.7","3.7","1","1.7","4","3.5","Estive focado em aspetos secundários e interferentes da performance musical."
"99","2025-06-30 12:08:03","5","pt","1483730443","2025-06-30 12:05:08","2025-06-30 12:08:03","Jguitar5","Solo - C - Livre",,,,,"NAN",,"3 minutos","8 segundos","3.9","4.5","5","3.7","3.2","2.8","1.5","2","3.1","2.2","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"100","2025-06-30 12:10:37","5","pt","832375174","2025-06-30 12:08:43","2025-06-30 12:10:37","Jtrombone1","Solo - C - Livre",,,,,"NAN",,"3 minutos","37 segundos","4.3","1.7","4.3","3.8","4.3","3.5","1","1.3","1","1","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"101","2025-06-30 12:11:37","5","pt","662152602","2025-06-30 12:09:56","2025-06-30 12:11:37","Jpiano3","Solo - C - Livre",,,,,"NAN",,"3 minutos","44 segundos","3.4","2.3","4.7","4.5","5","4.2","1","1.4","4.4","2.1","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"102","2025-06-30 12:13:49","5","pt","1814428406","2025-06-30 12:11:42","2025-06-30 12:13:49","Jguitar5","Solo - A - Familiar",,,,,"NAN",,"5 minutos","8 segundos","2.6","3.3","3.2","2.3","3.7","3.5","1.5","3.9","4.1","3.8","Estive focado em aspetos secundários e interferentes da performance musical."
"103","2025-06-30 12:15:41","5","pt","2105999598","2025-06-30 12:13:40","2025-06-30 12:15:41","Jtrombone1","Solo - A - Familiar",,,,,"NAN",,"1 minutos","25 segundos","2.6","2.3","4.1","2.2","5","2.4","1","1.7","2.2","2.3","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"104","2025-06-30 12:17:02","5","pt","1952904203","2025-06-30 12:15:19","2025-06-30 12:17:02","Jpiano3","Solo - A - Familiar",,,,,"NAN",,"3 minutos","48 segundos","3.8","1.9","4","4.3","4.5","3.9","1","1","3.7","2.4","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"105","2025-06-30 12:19:02","5","pt","1014768077","2025-06-30 12:17:25","2025-06-30 12:19:02","Jguitar5","Solo - B - Não familiar",,,,,"NAN",,"5 minutos","9 segundos","3.3","2.7","3.9","3.5","1.6","3.9","1.4","2","2.4","1.8","Estive focado na performance musical."
"106","2025-06-30 12:40:41","5","pt","580269257","2025-06-30 12:37:33","2025-06-30 12:40:41","Jsax1","Solo - B - Não familiar",,,,,"NAN",,"2 minutos","30 segundos","2.4","3.2","3.6","3.4","2.5","4.2","2.2","2.4","1.7","3.9","Estive focado na performance musical."
"107","2025-06-30 12:41:03","5","pt","1769462216","2025-06-30 12:37:38","2025-06-30 12:41:03","Jguitar6","Solo - C - Livre",,,,,"NAN",,"3 minutos","0 segundos","4.2","2.2","1.7","4.7","4","4","2.8","3.2","3.2","3.1","Estive focado na performance musical."
"108","2025-06-30 12:40:19","5","pt","1111347552","2025-06-30 12:38:02","2025-06-30 12:40:19","Jsax5","Solo - B - Não familiar",,,,,"NAN",,"2 minutos","24 segundos","4","1","4","3.5","5","5","1","1","4","1","Estive focado na performance musical."
"109","2025-06-30 12:45:31","5","pt","2147131140","2025-06-30 12:43:49","2025-06-30 12:45:31","Jsax5 ","Solo - C - Livre",,,,,"NAN",,"3 minutos","40 segundos","5","1","4.5","3","3.5","4","1","4","4.5","1","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"110","2025-06-30 12:46:52","5","pt","345864287","2025-06-30 12:44:51","2025-06-30 12:46:52","Jsax1","Solo - A - Familiar",,,,,"NAN",,"5 minutos","0 segundos","3.4","3.4","3.4","3.3","3.6","4","1.8","2.8","3.4","3.6","Estive focado na performance musical."
"111","2025-06-30 12:47:56","5","pt","564392219","2025-06-30 12:45:01","2025-06-30 12:47:56","Jguitar6","Solo - B - Não familiar",,,,,"NAN",,"3 minutos","0 segundos","4","2.3","5","4.3","1.8","5","1","1.5","1.5","1.4","Estive focado na performance musical."
"112","2025-06-30 12:50:53","5","pt","1445309795","2025-06-30 12:49:25","2025-06-30 12:50:53","Jsax5","Solo - A - Familiar",,,,,"NAN",,"3 minutos","10 segundos","4","1","4","3.5","5","3.9","1","1","3.5","1","Estive focado na performance musical."
"113","2025-06-30 12:53:15","5","pt","1025045421","2025-06-30 12:50:17","2025-06-30 12:53:15","Jsax1","Solo - C - Livre",,,,,"NAN",,"3 minutos","30 segundos","3.8","2.2","4.2","3.4","3.6","4","1.6","3.6","3.3","3.5","Estive focado em aspetos secundários e interferentes da performance musical."
"114","2025-06-30 12:52:28","5","pt","699178526","2025-06-30 12:51:08","2025-06-30 12:52:28","Jguitar6","Solo - A - Familiar",,,,,"NAN",,"3 minutos","0 segundos","4.6","1.9","4.6","4.3","3.3","5","1.2","1.3","1.3","1.4","Estive focado na performance musical."
"115","2025-06-30 13:05:23","5","pt","615253932","2025-06-30 12:59:15","2025-06-30 13:05:23","Jvoice10","Solo - C - Livre",,,,,"NAN",,"2 minutos","31 segundos","3.3","3.5","3.5","3.3","1","4.3","1","1","3.7","1","Estive focado na performance musical."
"116","2025-06-30 13:08:11","5","pt","1742016480","2025-06-30 13:01:54","2025-06-30 13:08:10","Jvoice1","Solo - A - Familiar",,,,,"NAN",,"1 minutos","15 segundos","3.9","2.8","5","3.5","4.2","3.7","2","2.5","3","3.5","Estive focado na performance musical."
"117","2025-06-30 13:11:14","5","pt","1073536704","2025-06-30 13:09:02","2025-06-30 13:11:14","Jguitar8","Solo - A - Familiar",,,,,"NAN",,"4 minutos","40 segundos","2","2.7","2.8","1.9","2.6","2.6","1.9","3.8","3.7","3.3","Estive focado em aspetos secundários e interferentes da performance musical."
"118","2025-06-30 13:11:06","5","pt","924514409","2025-06-30 13:09:22","2025-06-30 13:11:06","Jvoice10","Solo - B - Não familiar",,,,,"NAN",,"3 minutos","2 segundos","2.6","5","3.4","2.9","1","4","2.7","2.9","1","1","Estive focado em aspetos secundários e interferentes da performance musical."
"119","2025-06-30 13:16:54","5","pt","862702871","2025-06-30 13:15:23","2025-06-30 13:16:54","Jvoice10","Solo - A - Familiar",,,,,"NAN",,"4 minutos","8 segundos","3","3.6","3.4","2.9","1","4.1","2.8","1.2","1","3.9","Estive focado em aspetos secundários e interferentes da performance musical."
"120","2025-06-30 13:19:54","5","pt","1026355829","2025-06-30 13:15:33","2025-06-30 13:19:54","Jvoice1","Solo - B - Não familiar",,,,,"NAN",,"0 minutos","40 segundos","4.1","4.9","4","2.4","2.1","4","1.6","2.5","4.7","3.8","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"121","2025-06-30 13:20:56","5","pt","1767752602","2025-06-30 13:19:26","2025-06-30 13:20:56","Jguitar8 ","Solo - B - Não familiar",,,,,"NAN",,"4 minutos","11 segundos","3.5","2.4","3.8","3.7","3.3","3.4","1","2.8","3.5","3.2","Estive focado na performance musical."
"122","2025-06-30 13:25:36","5","pt","547881757","2025-06-30 13:23:00","2025-06-30 13:25:36","Jvoice1","Solo - C - Livre",,,,,"NAN",,"2 minutos","0 segundos","3","1.7","5","4.9","4.3","4.5","1.2","1.1","4.6","3","Estive focado na performance musical."
"123","2025-06-30 13:25:05","5","pt","837389844","2025-06-30 13:23:42","2025-06-30 13:25:05","Jguitar8 ","Solo - C - Livre",,,,,"NAN",,"3 minutos","20 segundos","3.8","2","4.2","4.2","4.1","3.8","1","2","2.4","1.8","Estive focado na performance musical."
"124","2025-06-30 13:37:01","5","pt","1412858960","2025-06-30 13:33:39","2025-06-30 13:37:01","Jdrum6","Solo - A - Familiar",,,,,"NAN",,"3 minutos","30 segundos","2","2","3","4","4.5","4","1","1","1.5","3","Estive focado em aspetos secundários e interferentes da performance musical."
"125","2025-06-30 13:41:52","5","pt","1881367365","2025-06-30 13:40:01","2025-06-30 13:41:52","Jdrum6 ","Solo - B - Não familiar",,,,,"NAN",,"2 minutos","30 segundos","3","2","4","5","5","5","1","1","1","2.5","Estive focado na performance musical."
"126","2025-06-30 13:47:20","5","pt","1578206037","2025-06-30 13:43:27","2025-06-30 13:47:20","Voz 9","Solo - B - Não familiar",,,,,"NAN",,"1 minutos","2 segundos","2.9","5","3","3","1.5","4.5","2.3","2.4","2.2","3","Estive focado em aspetos secundários e interferentes da performance musical."
"127","2025-06-30 13:48:10","5","pt","2092919138","2025-06-30 13:43:47","2025-06-30 13:48:10","JVoice8","Solo - A - Familiar",,,,,"NAN",,"5 minutos","17 segundos","2.4","3.4","3","3.3","1.9","3.6","1.7","3.4","4.1","2.4","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"128","2025-06-30 13:47:09","5","pt","1003152786","2025-06-30 13:45:06","2025-06-30 13:47:09","Jdrum6 ","Solo - C - Livre",,,,,"NAN",,"5 minutos","0 segundos","4","3.5","5","5","3.5","5","1","2","1","2","Estive focado na performance musical."
"129","2025-06-30 13:52:42","5","pt","1178814726","2025-06-30 13:50:51","2025-06-30 13:52:42","Voz 9 ","Solo - C - Livre",,,,,"NAN",,"1 minutos","45 segundos","3","3","3.6","3.4","3.4","3.8","2.2","2.2","2.3","3","Estive focado na performance musical."
"130","2025-06-30 13:54:58","5","pt","659559671","2025-06-30 13:52:43","2025-06-30 13:54:58","Jvoice8","Solo - B - Não familiar",,,,,"NAN",,"3 minutos","53 segundos","1.9","4.7","1.9","3.4","1","2.2","2.1","3.8","3.7","3.7","Estive focado em aspetos secundários e interferentes da performance musical."
"131","2025-06-30 13:57:20","5","pt","313769556","2025-06-30 13:55:43","2025-06-30 13:57:20","Voz 9","Solo - A - Familiar",,,,,"NAN",,"1 minutos","50 segundos","3.5","2.2","3","2.7","3.5","3.9","2.8","2.9","1.9","3.4","Estive focado na performance musical."
"132","2025-06-30 14:00:43","5","pt","743349447","2025-06-30 13:58:57","2025-06-30 14:00:43","Jvoice8","Solo - C - Livre",,,,,"NAN",,"5 minutos","0 segundos","3.3","3.1","3.3","3.7","2.1","3.8","2.1","2.8","3.3","2.3","Estive focado na performance musical."
"133","2025-06-30 15:39:46","5","pt","1168063428","2025-06-30 15:35:24","2025-06-30 15:39:46","Jdrum3","Solo - C - Livre",,,,,"NAN",,"3 minutos","2 segundos","2.4","3.5","5","3.9","1.6","4.2","2.4","3.2","3.5","2.3","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"134","2025-06-30 15:40:07","5","pt","1320315569","2025-06-30 15:36:49","2025-06-30 15:40:07","jguitar7","Solo - C - Livre",,,,,"NAN",,"5 minutos","20 segundos","4","1.1","5","5","4.5","5","1","1","4","1","Estive focado na performance musical."
"135","2025-06-30 15:43:16","5","pt","1800688287","2025-06-30 15:40:07","2025-06-30 15:43:16","jvoice5","Solo - A - Familiar",,,,,"NAN",,"5 minutos","30 segundos","2.5","3","1","2","2","4","4.5","1","4","3.5","Estive focado em aspetos secundários e interferentes da performance musical."
"136","2025-06-30 15:45:35","5","pt","2064324005","2025-06-30 15:43:43","2025-06-30 15:45:35","jguitar7","Solo - B - Não familiar",,,,,"NAN",,"3 minutos","0 segundos","3.9","1.6","5","5","3.5","5","1","1","4","1","Estive focado na performance musical."
"137","2025-06-30 15:46:02","5","pt","1711911664","2025-06-30 15:43:54","2025-06-30 15:46:02","Jdrum3","Solo - B - Não familiar",,,,,"NAN",,"2 minutos","50 segundos","2","3.8","4.6","2.2","4","3.3","3.8","4","2.3","4","Estive focado em aspetos secundários e interferentes da performance musical."
"138","2025-06-30 15:47:45","5","pt","420520154","2025-06-30 15:46:28","2025-06-30 15:47:45","jvoice5","Solo - C - Livre",,,,,"NAN",,"3 minutos","0 segundos","5","1.5","4.3","5","3.9","4","1","1","1","1","Estive focado na performance musical."
"139","2025-06-30 15:50:02","5","pt","1419083022","2025-06-30 15:48:22","2025-06-30 15:50:02","jguitar7","Solo - A - Familiar",,,,,"NAN",,"3 minutos","0 segundos","5","1","5","5","5","5","1","1","4.6","1","Estive focado na performance musical."
"140","2025-06-30 15:57:29","5","pt","1553966792","2025-06-30 15:55:37","2025-06-30 15:57:29","Jdrum3","Solo - A - Familiar",,,,,"NAN",,"2 minutos","30 segundos","2.2","3.5","4.3","1.7","4.2","3.7","3.6","4.6","3.9","4.6","Estive focado em aspetos secundários e interferentes da performance musical."
"141","2025-06-30 16:12:48","5","pt","627961131","2025-06-30 16:04:19","2025-06-30 16:12:48","aa09","Solo - C - Livre",,,,,"NAN",,"2 minutos","45 segundos","3.8","2","4","3","4.2","4","2","2","3.6","3","Estive focado na performance musical."
"142","2025-06-30 16:10:10","5","pt","1361292183","2025-06-30 16:06:35","2025-06-30 16:10:10","JDRUM2","Solo - A - Familiar",,,,,"NAN",,"2 minutos","50 segundos","1.5","3","2.7","2.2","1.8","1.8","1","4.2","4.1","1.5","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"143","2025-06-30 16:11:55","5","pt","1301301190","2025-06-30 16:08:34","2025-06-30 16:11:55","Jvoice4","Solo - C - Livre",,,,,"NAN",,"2 minutos","2 segundos","3","3.5","4.1","4.5","2.1","4.1","1.7","2.1","3.5","3.8","Estive focado na performance musical."
"144","2025-06-30 16:16:28","5","pt","1875572203","2025-06-30 16:13:47","2025-06-30 16:16:28","JDRUM2","Solo - C - Livre",,,,,"NAN",,"3 minutos","50 segundos","3","2.2","4","3.7","4","3.9","1","1.5","2.3","4.3","Estive focado em aspetos secundários e interferentes da performance musical."
"145","2025-06-30 16:19:54","5","pt","808874780","2025-06-30 16:17:29","2025-06-30 16:19:54","aa09","Solo - A - Familiar",,,,,"NAN",,"3 minutos","30 segundos","4","2","4.2","3","2.3","3.8","2","2","3.5","3.4","Estive focado na performance musical."
"146","2025-06-30 16:19:46","5","pt","1290074089","2025-06-30 16:17:35","2025-06-30 16:19:46","Jvoice4 ","Solo - B - Não familiar",,,,,"NAN",,"2 minutos","30 segundos","2.5","3.5","3.8","3.8","2.2","3.9","1.6","2","2.8","3.5","Estive focado na performance musical."
"147","2025-06-30 16:21:33","5","pt","1972127387","2025-06-30 16:19:45","2025-06-30 16:21:33","JDRUM2","Solo - B - Não familiar",,,,,"NAN",,"2 minutos","40 segundos","1.6","3.5","2.4","2.4","2.4","2.6","1","3.2","3.9","3.9","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"148","2025-06-30 16:26:35","5","pt","1676032711","2025-06-30 16:24:43","2025-06-30 16:26:35","Jvoice4 ","Solo - A - Familiar",,,,,"NAN",,"3 minutos","0 segundos","2.7","2.6","3.4","3.4","4","3.5","3","1.8","1.6","2.1","Estive focado na performance musical."
"149","2025-06-30 16:34:47","5","pt","813752735","2025-06-30 16:31:29","2025-06-30 16:34:47","Jdrum7","Solo - B - Não familiar",,,,,"NAN",,"2 minutos","46 segundos","3.5","2.2","4.4","3.7","4.5","4.1","4","4.2","5","3.5","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"150","2025-06-30 16:41:18","5","pt","1976318424","2025-06-30 16:39:09","2025-06-30 16:41:18","Jdrum7","Solo - C - Livre",,,,,"NAN",,"3 minutos","23 segundos","4.1","2.3","5","5","2.7","3.8","2.1","4.3","4.8","4.4","Estive focado em algo não diretamente relacionado com a performance musical."
"151","2025-06-30 16:46:03","5","pt","1987683915","2025-06-30 16:44:28","2025-06-30 16:46:03","Jdrum7","Grupo - A - Familiar",,,,,"NAN",,"4 minutos","47 segundos","4.8","1.7","5","5","5","5","4.3","4","4.2","4.1","Estive focado na performance musical."
"152","2025-06-30 16:59:43","5","pt","1357326872","2025-06-30 16:55:52","2025-06-30 16:59:43","Jvoice3","Solo - C - Livre",,,,,"NAN",,"5 minutos","29 segundos","2.4","3.4","4.4","5","1","5","2.9","4.1","2.4","2.6","Estive focado na performance musical."
"153","2025-06-30 17:05:33","5","pt","1784336989","2025-06-30 17:03:37","2025-06-30 17:05:33","Voz 11","Solo - A - Familiar",,,,,"NAN",,"2 minutos","7 segundos","3.2","2.2","5","4.2","4.1","5","1","5","2.2","1.1","Estive focado na performance musical."
"154","2025-06-30 17:06:09","5","pt","1621067136","2025-06-30 17:03:48","2025-06-30 17:06:09","Jvoice3","Solo - A - Familiar",,,,,"NAN",,"6 minutos","16 segundos","1.8","3.5","3.5","2.4","3.6","3.4","3.7","2.9","2.7","2.4","Estive focado em algo não diretamente relacionado com a performance musical."
"155","2025-06-30 17:10:24","5","pt","1931513646","2025-06-30 17:09:22","2025-06-30 17:10:24","Voz 11","Solo - C - Livre",,,,,"NAN",,"4 minutos","5 segundos","3.8","2.5","3.8","3.8","5","5","1","5","1.6","1","Estive focado na performance musical."
"156","2025-06-30 17:14:19","5","pt","1623313967","2025-06-30 17:11:34","2025-06-30 17:14:19","Jvoice3 ","Solo - B - Não familiar",,,,,"NAN",,"9 minutos","43 segundos","1","1","3.6","2.3","1","3.9","3.9","2.2","3.6","2.2","Estive focado em aspetos secundários e interferentes da performance musical."
"157","2025-06-30 17:14:31","5","pt","823066184","2025-06-30 17:13:28","2025-06-30 17:14:31","Voz 11","Solo - B - Não familiar",,,,,"NAN",,"2 minutos","4 segundos","3.5","4.2","4","3.8","3.8","4.5","2.3","1","3","4.4","Estive focado na performance musical."
"158","2025-06-30 17:19:03","5","pt","1860588757","2025-06-30 17:15:06","2025-06-30 17:19:03","Jdrum5","Solo - B - Não familiar",,,,,"NAN",,"3 minutos","35 segundos","3.8","3","4.4","3.7","3.9","4.6","3.8","2.5","3.9","3.7","Estive focado na performance musical."
"159","2025-06-30 17:24:36","5","pt","1046319551","2025-06-30 17:22:39","2025-06-30 17:24:36","Jdrum5","Solo - A - Familiar",,,,,"NAN",,"4 minutos","20 segundos","3.9","2","4","4","4","4","2.4","3.8","4","3.8","Estive focado em elementos físicos da sala que não tinham relação com a performance musical."
"160","2025-06-30 17:29:12","5","pt","1668039875","2025-06-30 17:27:18","2025-06-30 17:29:12","Jdrum5","Solo - C - Livre",,,,,"NAN",,"2 minutos","15 segundos","4.2","2.3","4","4","4.2","4.2","2.4","2","2.2","1.9","Estive focado na performance musical."
"161",,"2","pt","1657103026","2025-07-02 22:55:29","2025-07-02 22:55:47","Jdrum5 ","Solo - A - Familiar",,,,,"NAN",,"","",,,,,,,,,,,
"162",,,"pt","1475003508","2025-07-03 11:04:10","2025-07-03 11:04:10",,,,,,,,,"","",,,,,,,,,,,
"163","2025-07-04 11:43:53","5","pt","1723785905","2025-07-04 11:39:30","2025-07-04 11:43:53","Jsax4","Solo - C - Livre",,,,,"NAN",,"5 minutos","30 segundos","3.6","2.4","4","2","1","3","1","2","3","5","Estive focado em aspetos secundários e interferentes da performance musical."
"164","2025-07-04 11:50:51","5","pt","1310833510","2025-07-04 11:47:59","2025-07-04 11:50:51","Jsax4","Solo - B - Não familiar",,,,,"NAN",,"7 minutos","0 segundos","1","5","3.5","5","4","5","1","2","1","5","Estive focado na performance musical."
"165","2025-07-04 11:59:11","5","pt","1878756511","2025-07-04 11:55:51","2025-07-04 11:59:11","Jsax4","Solo - A - Familiar",,,,,"NAN",,"10 minutos","30 segundos","2.3","2","5","2","5","3","2","3","2","2","Estive focado na performance musical."
"166","2025-07-04 12:18:09","5","pt","1968869705","2025-07-04 12:13:57","2025-07-04 12:18:09","jdrum4","Solo - A - Familiar",,,,,"NAN",,"3 minutos","4 segundos","2.6","3","3","2.2","2.2","2.7","4.2","3.6","3","3.6","Estive focado em aspetos secundários e interferentes da performance musical."
"167","2025-07-04 12:19:24","5","pt","1810810323","2025-07-04 12:15:20","2025-07-04 12:19:24","Jsax4","Grupo - C - Livre",,,,,"NAN",,"10 minutos","0 segundos","4","2","5","2","4","5","1","1","1","4","Estive focado na performance musical."
"168",,,"pt","750420986","2025-07-04 12:15:26","2025-07-04 12:15:26",,,,,,,,,"","",,,,,,,,,,,
"169","2025-07-04 12:18:32","5","pt","794350849","2025-07-04 12:15:33","2025-07-04 12:18:32","jguitar10","Grupo - C - Livre",,,,,"NAN",,"3 minutos","13 segundos","3.4","3","3","3.5","1","5","1","1","4","2","Estive focado na performance musical."
"170","2025-07-04 12:18:30","5","pt","2137236050","2025-07-04 12:15:38","2025-07-04 12:18:30","JVoice9","Grupo - C - Livre",,,,,"NAN",,"3 minutos","5 segundos","3.1","2.7","2.7","3.5","2.3","4","1.9","1.8","2","1.7","Estive focado na performance musical."
"171","2025-07-04 12:18:20","5","pt","1671067166","2025-07-04 12:15:58","2025-07-04 12:18:20","Jdrum7","Grupo - C - Livre",,,,,"NAN",,"3 minutos","24 segundos","5","4","2.1","5","4.4","5","2","4","2","3.8","Estive focado em aspetos secundários e interferentes da performance musical."
"172","2025-07-04 12:25:57","5","pt","1458528199","2025-07-04 12:22:19","2025-07-04 12:25:57","jdrum4","Solo - C - Livre",,,,,"NAN",,"2 minutos","10 segundos","3.4","3.4","3.5","2.2","2","2","4.4","3.4","3.2","4.2","Estive focado em aspetos secundários e interferentes da performance musical."
"173","2025-07-04 12:25:16","5","pt","389046573","2025-07-04 12:22:58","2025-07-04 12:25:16","Jvoice9","Grupo - B - Não familiar",,,,,"NAN",,"2 minutos","5 segundos","3.3","3.8","3.6","3.9","2.3","4.4","1.9","2","2.1","2","Estive focado em aspetos secundários e interferentes da performance musical."
"174","2025-07-04 12:25:12","5","pt","892936562","2025-07-04 12:22:59","2025-07-04 12:25:12","Jdrum7","Grupo - B - Não familiar",,,,,"NAN",,"2 minutos","45 segundos","2.2","2.6","1.7","4.1","5","5","1.3","4.4","5","1.9","Estive focado em algo não diretamente relacionado com a performance musical."
"175","2025-07-04 12:25:18","5","pt","1903774885","2025-07-04 12:23:05","2025-07-04 12:25:18","jguitar10","Grupo - B - Não familiar",,,,,"NAN",,"3 minutos","19 segundos","2.4","2.5","4","4.5","1.2","4","1","1","1.6","1","Estive focado na performance musical."
"176","2025-07-04 12:26:29","5","pt","1687291333","2025-07-04 12:23:13","2025-07-04 12:26:29","Jsax4","Grupo - B - Não familiar",,,,,"NAN",,"5 minutos","30 segundos","4","5","4","2","1","4","4","4","4","4","Estive focado em aspetos secundários e interferentes da performance musical."
